name,country_mb
Kevin McCall,United States of America
Mavado,Jamaica
Busta Rhymes,United States of America
Twista,United States of America
Bun B,United States of America
Jadakiss,United States of America
Sunny Sweeney,United States of America
Miranda Cosgrove,United States of America
MDMA,Germany
Chris Medina,United States of America
DEV,United States of America
The Cataracs,United States of America
Darren Criss,United States of America
Chrisette Michele,United States of America
3 Doors Down,United States of America
Ricky Martin,United States of America
Natalia Jiménez,Spain
Yolanda Be Cool,Australia
Rise Against,United States of America
James Blunt,United Kingdom
Yellowcard,United States of America
Sugarland,United States of America
My Darkest Days,Canada
Zakk Wylde,United States of America
The Ready Set,United States of America
Chiddy Bang,United States of America
Alan Jackson,United States of America
3OH!3,United States of America
MGMT,United States of America
Ratatat,United States of America
Diddy - Dirty Money,United States of America
Sean Kingston,Jamaica
Gigamesh,United States of America
CeeLo Green,United States of America
Jazmine Sullivan,United States of America
Jay Sean,United Kingdom
Monica,United States of America
Rock Mafia,United States of America
Paula Fernandes,Brazil
Freshlyground,South Africa
Styles P,United States of America
Cali Swag District,United States of America
Marsha Ambrosius,United States of America
Iyaz,British Virgin Islands
Gyptian,Jamaica
Chris Willis,United States of America
Slash,United States of America
Antoine Dodson,United States of America
The Gregory Brothers,United States of America
Asher Roth,United States of America
Clay Walker,United States of America
Hannah Montana,United States of America
Timbaland,United States of America
Kevin Rudolf,United States of America
Jaheim,United States of America
Will Young,United Kingdom
Muse,United Kingdom
Charice,United States of America
Erykah Badu,United States of America
Kris Allen,United States of America
Maxwell,United States of America
Orianthi,Australia
Sade,United Kingdom
Owl City,United States of America
Godsmack,United States of America
Phoenix,Romania
Boys Like Girls,United States of America
Sammy Hagar,United States of America
Danny Gokey,United States of America
Kings of Leon,United States of America
Creedence Clearwater Revival,United States of America
Kellie Pickler,United States of America
k.d. lang,Canada
Martha Wainwright,Canada
Cascada,Germany
Shanell,United States of America
Eddie Vedder,United States of America
Cobra Starship,United States of America
Ester Dean,United States of America
Michael Franti & Spearhead,United States of America
Nelly Furtado,Canada
Trace Adkins,United States of America
Susan Boyle,United Kingdom
Leighton Meester,United States of America
Mary Mary,United States of America
Green Day,United States of America
Matt Squire,United States of America
Billy Gibbons,United States of America
Brooks & Dunn,United States of America
Jordin Sparks,United States of America
Rob Thomas,United States of America
Common,United States of America
Jack Ingram,United States of America
Theory of a Deadman,Canada
Creed,United States of America
Skillet,United States of America
The Pussycat Dolls,United States of America
Carolina Liar,Sweden
The Ting Tings,United Kingdom
Nas,United States of America
Beastie Boys,United States of America
Pleasure P,United States of America
Matthew Santos,United States of America
Hurricane Chris,United States of America
Montgomery Gentry,United States of America
Sammie,United States of America
The Veronicas,Australia
Dave Matthews Band,United States of America
All Time Low,United States of America
Madcon,Norway
Musiq Soulchild,United States of America
GS Boyz,United States of America
Bow Wow,United States of America
The White Tie Affair,United States of America
DAY26,United States of America
John Rich,United States of America
Silversun Pickups,United States of America
Ashley Tisdale,United States of America
Papa Roach,United States of America
Dre,United States of America
Thriving Ivory,United States of America
Ashanti,United States of America
Leona Lewis,United Kingdom
Brooke White,United States of America
Juelz Santana,United States of America
Jim Jones,United States of America
Ron Browz,United States of America
The Offspring,United States of America
Bruce Springsteen,United States of America
2Pac,United States of America
Kidd Kidd,United States of America
Bobby V.,United States of America
O.A.R.,United States of America
Metro Station,United States of America
Matt Nathanson,United States of America
Brandy,United States of America
Secondhand Serenade,United States of America
Sean Garrett,United States of America
Jimmy Wayne,United States of America
Jack White,United States of America
Sweet Rush,Canada
Estelle,United Kingdom
Metallica,United States of America
Mike Jones,United States of America
September,Sweden
Ray LaMontagne,United States of America
Keith Anderson,United States of America
Oasis,United Kingdom
Three 6 Mafia,United States of America
Project Pat,United States of America
The Lost Trailers,United States of America
LeAnn Rimes,United States of America
Melissa Etheridge,United States of America
Sheryl Crow,United States of America
Joshua Radin,United States of America
Cisco Adler,United States of America
Shwayze,United States of America
Marvin Sapp,United States of America
Flobots,United States of America
Yung Joc,United States of America
Flyleaf,United States of America
Jermaine Dupri,United States of America
